Student_Id,School,Rank,Rating
student_68963,02M411,0,1.0
student_68963,02M376,1,0.5
student_68963,02M316,2,0.3333333333333333
student_68963,02M438,3,0.25
student_68963,01M448,4,0.2
student_68963,02M298,5,0.16666666666666666
student_68963,03M402,6,0.14285714285714285
student_32259,01M696,0,1.0
student_32259,02M412,1,0.5
student_32259,02M416,2,0.3333333333333333
student_32259,02M411,3,0.25
student_32259,02M294,4,0.2
student_32259,01M448,5,0.16666666666666666
student_32259,01M292,6,0.14285714285714285
student_32259,02M298,7,0.125
student_57833,25Q281,0,1.0
student_57833,02M411,1,0.5
student_57833,02M543,2,0.3333333333333333
student_57833,02M418,3,0.25
student_57833,02M298,4,0.2
student_57833,02M438,5,0.16666666666666666
student_57833,01M696,6,0.14285714285714285
student_57833,02M422,7,0.125
student_57833,05M362,8,0.1111111111111111
student_30857,02M543,0,1.0
student_30857,02M551,1,0.5
student_30857,02M414,2,0.3333333333333333
student_30857,02M439,3,0.25
student_30857,04M435,4,0.2
student_30857,02M288,5,0.16666666666666666
student_30857,01M539,6,0.14285714285714285
student_30857,01M450,7,0.125
student_30857,03M541,8,0.1111111111111111
student_30857,02M294,9,0.1
student_22462,02M605,0,1.0
student_22462,02M400,1,0.5
student_22462,03M541,2,0.3333333333333333
student_22462,02M418,3,0.25
student_22462,02M294,4,0.2
student_22462,02M615,5,0.16666666666666666
student_22462,02M439,6,0.14285714285714285
student_21897,05M362,0,1.0
student_21897,02M615,1,0.5
student_21897,01M448,2,0.3333333333333333
student_21897,02M414,3,0.25
student_21897,01M539,4,0.2
student_21897,02M376,5,0.16666666666666666
student_21897,01M696,6,0.14285714285714285
student_21897,02M600,7,0.125
student_31089,32K168,0,1.0
student_31089,03M479,1,0.5
student_31089,01M539,2,0.3333333333333333
student_31089,02M407,3,0.25
student_31089,02M139,4,0.2
student_31089,02M298,5,0.16666666666666666
student_63688,01M450,0,1.0
student_63688,02M615,1,0.5
student_63688,01M448,2,0.3333333333333333
student_63688,02M418,3,0.25
student_63688,02M605,4,0.2
student_63688,02M414,5,0.16666666666666666
student_63688,02M416,6,0.14285714285714285
student_63688,02M545,7,0.125
student_63688,27Q309,8,0.1111111111111111
student_63688,02M282,9,0.1
student_17797,02M308,0,1.0
student_17797,01M539,1,0.5
student_17797,01M292,2,0.3333333333333333
student_17797,15K684,3,0.25
student_17797,02M413,4,0.2
student_17797,07X625,5,0.16666666666666666
student_52488,30Q580,0,1.0
student_52488,02M439,1,0.5
student_52488,02M545,2,0.3333333333333333
student_52488,01M448,3,0.25
student_52488,02M418,4,0.2
student_52488,02M580,5,0.16666666666666666
student_52488,02M305,6,0.14285714285714285
student_52488,24Q560,7,0.125
student_61161,02M418,0,1.0
student_61161,27Q309,1,0.5
student_61161,01M450,2,0.3333333333333333
student_61161,01M448,3,0.25
student_61161,13K605,4,0.2
student_61161,02M534,5,0.16666666666666666
student_61161,02M135,6,0.14285714285714285
student_61161,01M696,7,0.125
student_61161,21K690,8,0.1111111111111111
student_66654,06M540,0,1.0
student_66654,02M534,1,0.5
student_66654,02M298,2,0.3333333333333333
student_66654,02M413,3,0.25
student_66654,02M376,4,0.2
student_66654,02M407,5,0.16666666666666666
student_66654,01M450,6,0.14285714285714285
student_66654,02M489,7,0.125
student_66654,02M135,8,0.1111111111111111
student_32415,02M392,0,1.0
student_32415,02M298,1,0.5
student_32415,02M534,2,0.3333333333333333
student_32415,02M439,3,0.25
student_32415,02M294,4,0.2
student_32415,02M411,5,0.16666666666666666
student_32415,01M515,6,0.14285714285714285
student_32415,06M346,7,0.125
student_63062,02M534,0,1.0
student_63062,04M555,1,0.5
student_63062,27Q260,2,0.3333333333333333
student_63062,02M294,3,0.25
student_63062,01M539,4,0.2
student_63062,02M439,5,0.16666666666666666
student_63062,02M615,6,0.14285714285714285
student_63062,04M435,7,0.125
student_63062,02M298,8,0.1111111111111111
student_3391,02M308,0,1.0
student_3391,03M541,1,0.5
student_3391,03M479,2,0.3333333333333333
student_3391,02M412,3,0.25
student_3391,02M600,4,0.2
student_3391,02M374,5,0.16666666666666666
student_3391,02M630,6,0.14285714285714285
student_3391,01M448,7,0.125
student_3391,02M418,8,0.1111111111111111
student_47663,02M298,0,1.0
student_47663,02M439,1,0.5
student_47663,02M546,2,0.3333333333333333
student_47663,02M543,3,0.25
student_47663,22K555,4,0.2
student_47663,02M294,5,0.16666666666666666
student_47663,02M418,6,0.14285714285714285
student_47663,01M292,7,0.125
student_47663,01M539,8,0.1111111111111111
student_47663,01M696,9,0.1
student_47663,02M411,10,0.09090909090909091
student_525,04M610,0,1.0
student_525,10X439,1,0.5
student_525,02M411,2,0.3333333333333333
student_525,01M539,3,0.25
student_525,02M294,4,0.2
student_525,05M369,5,0.16666666666666666
student_49899,24Q299,0,1.0
student_49899,02M615,1,0.5
student_49899,20K445,2,0.3333333333333333
student_49899,02M294,3,0.25
student_49899,01M450,4,0.2
student_49899,02M298,5,0.16666666666666666
student_49899,02M411,6,0.14285714285714285
student_49899,02M439,7,0.125
student_58911,02M419,0,1.0
student_58911,02M400,1,0.5
student_58911,02M374,2,0.3333333333333333
student_58911,02M543,3,0.25
student_58911,02M294,4,0.2
student_58911,01M448,5,0.16666666666666666
student_54954,02M399,0,1.0
student_54954,02M412,1,0.5
student_54954,02M422,2,0.3333333333333333
student_54954,02M413,3,0.25
student_54954,02M407,4,0.2
student_54954,01M450,5,0.16666666666666666
student_54954,02M282,6,0.14285714285714285
student_28177,02M533,0,1.0
student_28177,02M407,1,0.5
student_28177,02M260,2,0.3333333333333333
student_28177,02M418,3,0.25
student_28177,02M282,4,0.2
student_28177,02M412,5,0.16666666666666666
student_28177,02M615,6,0.14285714285714285
student_28177,13K439,7,0.125
student_33046,01M696,0,1.0
student_33046,01M448,1,0.5
student_33046,02M439,2,0.3333333333333333
student_33046,02M411,3,0.25
student_33046,32K556,4,0.2
student_33046,13K527,5,0.16666666666666666
student_45928,01M450,0,1.0
student_45928,02M294,1,0.5
student_45928,02M392,2,0.3333333333333333
student_45928,13K350,3,0.25
student_45928,02M543,4,0.2
student_45928,01M539,5,0.16666666666666666
student_45928,02M305,6,0.14285714285714285
student_45928,02M416,7,0.125
student_11209,02M298,0,1.0
student_11209,02M546,1,0.5
student_11209,02M439,2,0.3333333333333333
student_11209,02M412,3,0.25
student_11209,02M047,4,0.2
student_16775,02M413,0,1.0
student_16775,02M416,1,0.5
student_16775,02M411,2,0.3333333333333333
student_16775,15K684,3,0.25
student_16775,02M489,4,0.2
student_16775,25Q525,5,0.16666666666666666
student_16775,02M543,6,0.14285714285714285
student_16775,02M260,7,0.125
student_16775,01M292,8,0.1111111111111111
student_37100,02M412,0,1.0
student_37100,02M294,1,0.5
student_37100,01M458,2,0.3333333333333333
student_37100,02M416,3,0.25
student_37100,02M420,4,0.2
student_37100,01M696,5,0.16666666666666666
student_37100,02M411,6,0.14285714285714285
student_37100,02M439,7,0.125
student_37100,02M630,8,0.1111111111111111
student_37100,02M543,9,0.1
student_26311,02M425,0,1.0
student_26311,01M450,1,0.5
student_26311,02M439,2,0.3333333333333333
student_26311,02M407,3,0.25
student_26311,01M696,4,0.2
student_26311,24Q299,5,0.16666666666666666
student_26311,01M292,6,0.14285714285714285
student_26311,02M418,7,0.125
student_26311,02M305,8,0.1111111111111111
student_26311,32K552,9,0.1
student_47284,02M416,0,1.0
student_47284,02M260,1,0.5
student_47284,02M413,2,0.3333333333333333
student_47284,02M543,3,0.25
student_47284,02M489,4,0.2
student_47284,02M439,5,0.16666666666666666
student_47284,02M414,6,0.14285714285714285
student_47284,03M479,7,0.125
student_47284,02M534,8,0.1111111111111111
student_47284,24Q264,9,0.1
student_6930,02M533,0,1.0
student_6930,02M376,1,0.5
student_6930,02M425,2,0.3333333333333333
student_6930,11X508,3,0.25
student_6930,02M393,4,0.2
student_6930,01M292,5,0.16666666666666666
student_6930,02M282,6,0.14285714285714285
student_6382,02M260,0,1.0
student_6382,02M280,1,0.5
student_6382,01M292,2,0.3333333333333333
student_6382,02M411,3,0.25
student_6382,02M414,4,0.2
student_6382,02M294,5,0.16666666666666666
student_6382,02M298,6,0.14285714285714285
student_6382,09X403,7,0.125
student_6382,01M539,8,0.1111111111111111
student_6382,04M555,9,0.1
student_6382,02M546,10,0.09090909090909091
student_38733,02M534,0,1.0
student_38733,02M392,1,0.5
student_38733,02M411,2,0.3333333333333333
student_38733,01M515,3,0.25
student_38733,01M292,4,0.2
student_38733,02M605,5,0.16666666666666666
student_38733,02M260,6,0.14285714285714285
student_38733,01M450,7,0.125
student_38733,19K615,8,0.1111111111111111
student_51176,02M545,0,1.0
student_51176,02M543,1,0.5
student_51176,02M438,2,0.3333333333333333
student_51176,02M407,3,0.25
student_51176,03M492,4,0.2
student_51176,05M499,5,0.16666666666666666
student_51176,02M305,6,0.14285714285714285
student_51176,02M376,7,0.125
student_51176,02M418,8,0.1111111111111111
student_1560,06M468,0,1.0
student_1560,24Q530,1,0.5
student_1560,03M541,2,0.3333333333333333
student_1560,02M412,3,0.25
student_1560,01M539,4,0.2
student_1560,01M292,5,0.16666666666666666
student_8242,01M448,0,1.0
student_8242,30Q501,1,0.5
student_8242,02M418,2,0.3333333333333333
student_8242,02M260,3,0.25
student_8242,02M489,4,0.2
student_8242,02M545,5,0.16666666666666666
student_8242,03M479,6,0.14285714285714285
student_8242,02M425,7,0.125
student_33422,01M450,0,1.0
student_33422,03M479,1,0.5
student_33422,02M543,2,0.3333333333333333
student_33422,02M489,3,0.25
student_33422,15K684,4,0.2
student_33422,02M419,5,0.16666666666666666
student_33422,02M392,6,0.14285714285714285
student_33422,02M411,7,0.125
student_33422,02M533,8,0.1111111111111111
student_33422,01M292,9,0.1
student_18732,01M448,0,1.0
student_18732,04M435,1,0.5
student_18732,01M539,2,0.3333333333333333
student_18732,02M298,3,0.25
student_18732,04M555,4,0.2
student_18732,02M615,5,0.16666666666666666
student_18732,10X565,6,0.14285714285714285
student_18732,05M362,7,0.125
student_18732,02M288,8,0.1111111111111111
student_18732,11X299,9,0.1
student_18732,02M407,10,0.09090909090909091
student_30238,02M439,0,1.0
student_30238,04M435,1,0.5
student_30238,01M292,2,0.3333333333333333
student_30238,02M413,3,0.25
student_30238,02M260,4,0.2
student_30238,14K478,5,0.16666666666666666
